Price,Close,High,Low,Open,Volume
Ticker,NQ=F,NQ=F,NQ=F,NQ=F,NQ=F
Date,,,,,
2023-12-08 21:00:00,16094.0,16099.25,16086.5,16099.0,11661
2023-12-10 23:00:00,16104.25,16114.5,16082.25,16093.0,4269
2023-12-11 00:00:00,16075.5,16109.25,16069.0,16104.0,4635
2023-12-11 01:00:00,16069.75,16077.25,16062.5,16075.5,4226
2023-12-11 02:00:00,16053.5,16073.0,16052.0,16068.5,3114
2023-12-11 03:00:00,16057.0,16060.25,16050.0,16054.25,1953
2023-12-11 04:00:00,16053.5,16060.75,16050.25,16056.75,1641
2023-12-11 05:00:00,16063.0,16064.5,16049.25,16052.75,2395
2023-12-11 06:00:00,16060.75,16077.25,16059.25,16062.5,3141
2023-12-11 07:00:00,16063.75,16068.25,16052.0,16060.0,3547
2023-12-11 08:00:00,16063.5,16076.25,16058.0,16063.25,5058
2023-12-11 09:00:00,16070.75,16090.75,16060.0,16063.25,5094
2023-12-11 10:00:00,16061.25,16085.25,16059.5,16072.25,3876
2023-12-11 11:00:00,16070.25,16072.75,16045.5,16061.75,4922
2023-12-11 12:00:00,16078.5,16085.75,16065.5,16071.0,6139
2023-12-11 13:00:00,16080.0,16084.75,16058.25,16077.75,15537
2023-12-11 14:00:00,16160.0,16163.75,16068.75,16079.75,69139
2023-12-11 15:00:00,16176.75,16199.75,16135.0,16160.75,62986
2023-12-11 16:00:00,16162.5,16187.5,16121.5,16177.0,59731
2023-12-11 17:00:00,16201.5,16204.0,16146.75,16162.0,31404
2023-12-11 18:00:00,16235.25,16243.75,16188.0,16201.25,30519
2023-12-11 19:00:00,16223.25,16245.75,16216.25,16234.75,21645
2023-12-11 20:00:00,16234.0,16239.75,16210.5,16223.75,32307
2023-12-11 21:00:00,16243.25,16248.0,16228.5,16234.25,6962
2023-12-11 23:00:00,16241.0,16243.25,16229.25,16240.0,0
2023-12-12 00:00:00,16257.5,16271.75,16240.0,16241.75,4521
2023-12-12 01:00:00,16249.75,16259.5,16244.5,16256.5,2885
2023-12-12 02:00:00,16254.25,16257.5,16247.75,16249.5,2411
2023-12-12 03:00:00,16254.5,16261.5,16252.25,16254.25,1086
2023-12-12 04:00:00,16255.25,16258.5,16251.5,16254.0,1057
2023-12-12 05:00:00,16263.25,16266.75,16253.75,16254.5,1050
2023-12-12 06:00:00,16262.25,16265.75,16257.25,16263.75,1257
2023-12-12 07:00:00,16262.25,16269.25,16259.0,16262.25,2401
