Date,Date,Close,High,Low,Open,Volume
93,2023-07-20 22:00:00,101.72265625,101.73046875,101.71484375,101.71875,0
94,2023-07-20 23:00:00,101.72265625,101.7265625,101.71484375,101.7265625,982
95,2023-07-21 00:00:00,101.7421875,101.74609375,101.7265625,101.7265625,3384
96,2023-07-21 01:00:00,101.7421875,101.7421875,101.734375,101.7421875,2114
97,2023-07-21 02:00:00,101.734375,101.7421875,101.72265625,101.7421875,2567
98,2023-07-21 03:00:00,101.73046875,101.73828125,101.73046875,101.734375,1548
99,2023-07-21 04:00:00,101.72265625,101.734375,101.72265625,101.73046875,1603
100,2023-07-21 05:00:00,101.74609375,101.74609375,101.72265625,101.72265625,2258
101,2023-07-21 06:00:00,101.73828125,101.7578125,101.7265625,101.7421875,5784
102,2023-07-21 07:00:00,101.71484375,101.73828125,101.69921875,101.73828125,10672
103,2023-07-21 08:00:00,101.6875,101.73046875,101.6796875,101.71484375,7639
104,2023-07-21 09:00:00,101.6875,101.703125,101.6796875,101.6875,6788
105,2023-07-21 10:00:00,101.69921875,101.703125,101.6875,101.6875,3648
106,2023-07-21 11:00:00,101.68359375,101.7265625,101.68359375,101.703125,12871
107,2023-07-21 12:00:00,101.7265625,101.75,101.67578125,101.68359375,37627
108,2023-07-21 13:00:00,101.73046875,101.7421875,101.71484375,101.7265625,22997
109,2023-07-21 14:00:00,101.6875,101.73046875,101.6875,101.7265625,29600
110,2023-07-21 15:00:00,101.6640625,101.71484375,101.6640625,101.6875,31999
111,2023-07-21 16:00:00,101.70703125,101.70703125,101.6640625,101.6640625,15859
112,2023-07-21 17:00:00,101.71875,101.72265625,101.69921875,101.70703125,19807
113,2023-07-21 18:00:00,101.7109375,101.734375,101.7109375,101.71875,28409
114,2023-07-21 19:00:00,101.71875,101.72265625,101.703125,101.7109375,19555
115,2023-07-21 20:00:00,101.7109375,101.71875,101.70703125,101.71484375,6383
116,2023-07-23 22:00:00,101.70703125,101.72265625,101.703125,101.72265625,672
117,2023-07-23 23:00:00,101.6953125,101.7109375,101.6953125,101.7109375,1028
118,2023-07-24 00:00:00,101.69140625,101.70703125,101.69140625,101.6953125,2690
119,2023-07-24 01:00:00,101.6875,101.703125,101.6875,101.6953125,2894
120,2023-07-24 02:00:00,101.6953125,101.6953125,101.68359375,101.6875,1599
121,2023-07-24 03:00:00,101.6953125,101.69921875,101.69140625,101.6953125,1240
122,2023-07-24 04:00:00,101.6953125,101.703125,101.69140625,101.69140625,1134
123,2023-07-24 05:00:00,101.69921875,101.69921875,101.69140625,101.6953125,1216
124,2023-07-24 06:00:00,101.6796875,101.69921875,101.66796875,101.69921875,6349
125,2023-07-24 07:00:00,101.72265625,101.7421875,101.67578125,101.67578125,21055
126,2023-07-24 08:00:00,101.7421875,101.7421875,101.703125,101.71499633789062,8633
127,2023-07-24 09:00:00,101.734375,101.75,101.71875,101.7421875,5653
128,2023-07-24 10:00:00,101.74609375,101.75,101.73046875,101.734375,8750
129,2023-07-24 11:00:00,101.75,101.765625,101.734375,101.74609375,12502
130,2023-07-24 12:00:00,101.7578125,101.76953125,101.73828125,101.75,24482
131,2023-07-24 13:00:00,101.734375,101.75390625,101.67578125,101.75390625,41631
132,2023-07-24 14:00:00,101.70703125,101.75390625,101.68359375,101.73828125,33653
133,2023-07-24 15:00:00,101.6875,101.71484375,101.6796875,101.70703125,48439
134,2023-07-24 16:00:00,101.65234375,101.6875,101.625,101.6875,61076
135,2023-07-24 17:00:00,101.609375,101.66015625,101.6015625,101.6484375,28083
136,2023-07-24 18:00:00,101.6328125,101.63671875,101.58984375,101.609375,29019
137,2023-07-24 19:00:00,101.6015625,101.64453125,101.58984375,101.6328125,30632
138,2023-07-24 20:00:00,101.58203125,101.6015625,101.5703125,101.59765625,21253
139,2023-07-24 22:00:00,101.57421875,101.58203125,101.57421875,101.578125,0
140,2023-07-24 23:00:00,101.578125,101.578125,101.5703125,101.57421875,759
141,2023-07-25 00:00:00,101.578125,101.59375,101.5703125,101.578125,4537
142,2023-07-25 01:00:00,101.6171875,101.62109375,101.58203125,101.58203125,10399
143,2023-07-25 02:00:00,101.62109375,101.625,101.61328125,101.6171875,3464
144,2023-07-25 03:00:00,101.60546875,101.6171875,101.60546875,101.6171875,1666
145,2023-07-25 04:00:00,101.60546875,101.6171875,101.60546875,101.609375,971
146,2023-07-25 05:00:00,101.59375,101.609375,101.58984375,101.60546875,3317
147,2023-07-25 06:00:00,101.59375,101.59765625,101.5703125,101.59375,9454
148,2023-07-25 07:00:00,101.6015625,101.60546875,101.57421875,101.58984375,11598
149,2023-07-25 08:00:00,101.578125,101.625,101.55859375,101.62100219726562,21531
150,2023-07-25 09:00:00,101.5625,101.5859375,101.55078125,101.57421875,10929
151,2023-07-25 10:00:00,101.5625,101.5703125,101.5546875,101.56640625,7128
152,2023-07-25 11:00:00,101.5546875,101.55859375,101.53125,101.55859375,18941
153,2023-07-25 12:00:00,101.546875,101.58984375,101.5390625,101.5546875,40499
154,2023-07-25 13:00:00,101.53125,101.5625,101.50390625,101.54296875,48809
155,2023-07-25 14:00:00,101.52734375,101.5390625,101.4921875,101.53125,42885
156,2023-07-25 15:00:00,101.53125,101.55859375,101.51953125,101.53125,41874
157,2023-07-25 16:00:00,101.52734375,101.54296875,101.515625,101.53515625,19943
158,2023-07-25 17:00:00,101.50390625,101.53125,101.5,101.52734375,17158
159,2023-07-25 18:00:00,101.53125,101.546875,101.5,101.50390625,42539
160,2023-07-25 19:00:00,101.5625,101.5703125,101.5234375,101.53125,25892
161,2023-07-25 20:00:00,101.55859375,101.60546875,101.55078125,101.56640625,30309
162,2023-07-25 22:00:00,101.5390625,101.55859375,101.53515625,101.546875,0
163,2023-07-25 23:00:00,101.53125,101.54296875,101.53125,101.5390625,2751
164,2023-07-26 00:00:00,101.53125,101.53515625,101.53125,101.53515625,2048
165,2023-07-26 01:00:00,101.53125,101.5703125,101.5234375,101.53125,10766
166,2023-07-26 02:00:00,101.5546875,101.55859375,101.52734375,101.53125,4089
167,2023-07-26 03:00:00,101.55078125,101.55859375,101.54296875,101.5546875,3125
